year,quarter,number
1949,1,362
1949,2,385
1949,3,432
1949,4,341
1950,1,382
1950,2,409
1950,3,498
1950,4,387
1951,1,473
1951,2,513
1951,3,582
1951,4,474
1952,1,544
1952,2,582
1952,3,681
1952,4,557
1953,1,628
1953,2,707
1953,3,773
1953,4,592
1954,1,627
1954,2,725
1954,3,854
1954,4,661
1955,1,742
1955,2,854
1955,3,1023
1955,4,789
1956,1,878
1956,2,1005
1956,3,1173
1956,4,883
1957,1,972
1957,2,1125
1957,3,1336
1957,4,988
1958,1,1020
1958,2,1146
1958,3,1400
1958,4,1006
1959,1,1108
1959,2,1288
1959,3,1570
1959,4,1174
1960,1,1227
1960,2,1468
1960,3,1736
1960,4,1283
