YEAR,PLAYERID,NAMElast,NAMEfirst,TEAM,LG,AVG,OBP,SLG,EXP,PAYR,MLAVG,MLOBP,MLSLG,AVGcumLag1,OBPcumLag1,SLGcumLag1,G,YRINDEX
1994,garcica01,Garcia,Carlos,PIT,NL,0.277,0.309,0.367,3,292,0.275,0.345,0.434,0.266,0.309,0.39,98,36
1985,lansfca01,Lansford,Carney,OAK,AL,0.277,0.311,0.429,8,523,0.262,0.329,0.4,0.295,0.343,0.429,98,27
1984,trillma01,Trillo,Manny,SFN,NL,0.254,0.3,0.342,10,432,0.265,0.328,0.393,0.265,0.318,0.347,98,26
1972,cashda01,Cash,Dave,PIT,NL,0.282,0.316,0.374,4,502,0.253,0.321,0.37,0.295,0.356,0.372,99,14
1981,scottto01,Scott,Tony,SLN->HOU,NL->NL,0.264,0.301,0.359,6,337,0.26,0.325,0.377,0.252,0.308,0.334,100,23
1994,whitede03,White,Devon,TOR,AL,0.27,0.313,0.457,9,501,0.275,0.345,0.434,0.256,0.31,0.406,100,36
1995,whitede03,White,Devon,TOR,AL,0.283,0.334,0.431,10,501,0.272,0.344,0.427,0.258,0.311,0.411,101,37
1993,bellge02,Bell,George,CHA,AL,0.217,0.243,0.363,12,549,0.27,0.338,0.413,0.282,0.321,0.477,102,35
2001,evereca01,Everett,Carl,BOS,AL,0.257,0.323,0.438,8,408,0.269,0.338,0.437,0.282,0.353,0.484,102,43
2000,knoblch01,Knoblauch,Chuck,NYA,AL,0.283,0.366,0.385,10,614,0.276,0.351,0.448,0.298,0.388,0.419,102,42
1981,oliveal01,Oliver,Al,TEX,AL,0.309,0.348,0.411,13,574,0.26,0.325,0.377,0.303,0.342,0.461,102,23
1981,willsbu01,Wills,Bump,TEX,AL,0.251,0.304,0.307,5,564,0.26,0.325,0.377,0.268,0.338,0.367,102,23
1981,wilsowi02,Wilson,Willie,KCA,AL,0.303,0.335,0.364,4,485,0.26,0.325,0.377,0.307,0.343,0.4,102,23
1994,baergca01,Baerga,Carlos,CLE,AL,0.314,0.333,0.525,5,438,0.275,0.345,0.434,0.301,0.344,0.44,103,36
1981,bakerdu01,Baker,Dusty,LAN,NL,0.32,0.363,0.445,11,500,0.26,0.325,0.377,0.276,0.343,0.439,103,23
1983,fordda01,Ford,Dan,BAL,AL,0.28,0.328,0.44,9,414,0.266,0.33,0.398,0.271,0.326,0.432,103,25
1994,galaran01,Galarraga,Andres,COL,NL,0.319,0.356,0.592,10,469,0.275,0.345,0.434,0.279,0.332,0.452,103,36
1984,madlobi01,Madlock,Bill,PIT,NL,0.253,0.297,0.323,12,489,0.265,0.328,0.393,0.317,0.378,0.459,103,26
1990,molitpa01,Molitor,Paul,ML4,AL,0.285,0.343,0.464,13,575,0.263,0.33,0.394,0.3,0.362,0.435,103,32
1981,morenom01,Moreno,Omar,PIT,NL,0.276,0.319,0.362,6,494,0.26,0.325,0.377,0.254,0.321,0.344,103,23
1994,vizcajo01,Vizcaino,Jose,NYN,NL,0.256,0.31,0.324,5,363,0.275,0.345,0.434,0.265,0.309,0.33,103,36
1996,jeffegr01,Jefferies,Gregg,PHI,NL,0.292,0.348,0.401,9,467,0.276,0.347,0.438,0.296,0.352,0.436,104,38
1981,pacioto01,Paciorek,Tom,SEA,AL,0.326,0.379,0.509,10,278,0.26,0.325,0.377,0.269,0.31,0.399,104,23
1983,randowi01,Randolph,Willie,NYA,AL,0.279,0.361,0.348,9,520,0.266,0.33,0.398,0.271,0.37,0.358,104,25
1986,molitpa01,Molitor,Paul,ML4,AL,0.281,0.34,0.426,9,575,0.262,0.331,0.404,0.292,0.349,0.417,105,28
1990,rayjo01,Ray,Johnny,CAL,AL,0.277,0.308,0.371,10,561,0.263,0.33,0.394,0.291,0.335,0.392,105,32
1994,sosasa01,Sosa,Sammy,CHN,NL,0.3,0.339,0.545,6,563,0.275,0.345,0.434,0.243,0.291,0.413,105,36
1966,wynnji01,Wynn,Jimmy,HOU,NL,0.256,0.321,0.44,4,532,0.257,0.32,0.392,0.257,0.344,0.415,105,8
1994,belleal01,Belle,Albert,CLE,AL,0.357,0.438,0.714,6,556,0.275,0.345,0.434,0.27,0.33,0.505,106,36
1981,bucknbi01,Buckner,Bill,CHN,NL,0.311,0.349,0.48,12,476,0.26,0.325,0.377,0.295,0.325,0.403,106,23
1994,carrch02,Carr,Chuck,FLO,NL,0.263,0.305,0.33,3,314,0.275,0.345,0.434,0.26,0.322,0.32,106,36
1981,conceda01,Concepcion,Dave,CIN,NL,0.306,0.358,0.409,12,503,0.26,0.325,0.377,0.269,0.322,0.369,106,23
1981,coopece01,Cooper,Cecil,ML4,AL,0.32,0.363,0.495,10,493,0.26,0.325,0.377,0.306,0.346,0.479,106,23
1981,dejesiv01,DeJesus,Ivan,CHN,NL,0.194,0.276,0.233,7,365,0.26,0.325,0.377,0.267,0.336,0.347,106,23
1994,gracema01,Grace,Mark,CHN,NL,0.298,0.37,0.414,7,580,0.275,0.345,0.434,0.304,0.377,0.425,106,36
