MEDV,LON,LAT,CRIME,ZONE,INDUS,NOX,ROOM,AGE,DIST,RADIAL,TAX,PTRATIO,LSTAT
480,-70.955,42.255,0.00632,18,2.31,0.538,6.575,65.2,4.09,1,296,15.3,4.98
432,-70.95,42.2875,0.02731,0,7.07,0.469,6.421,78.9,4.9671,2,242,17.8,9.14
694,-70.936,42.283,0.02729,0,7.07,0.469,7.185,61.1,4.9671,2,242,17.8,4.03
668,-70.928,42.293,0.03237,0,2.18,0.458,6.998,45.8,6.0622,3,222,18.7,2.94
724,-70.922,42.298,0.06905,0,2.18,0.458,7.147,54.2,6.0622,3,222,18.7,5.33
574,-70.9165,42.304,0.02985,0,2.18,0.458,6.43,58.7,6.0622,3,222,18.7,5.21
458,-70.936,42.297,0.08829,12.5,7.87,0.524,6.012,66.6,5.5605,5,311,15.2,12.43
542,-70.9375,42.31,0.14455,12.5,7.87,0.524,6.172,96.1,5.9505,5,311,15.2,19.15
330,-70.933,42.312,0.21124,12.5,7.87,0.524,5.631,100,6.0821,5,311,15.2,29.93
378,-70.929,42.316,0.17004,12.5,7.87,0.524,6.004,85.9,6.5921,5,311,15.2,17.1
300,-70.935,42.316,0.22489,12.5,7.87,0.524,6.377,94.3,6.3467,5,311,15.2,20.45
378,-70.944,42.317,0.11747,12.5,7.87,0.524,6.009,82.9,6.2267,5,311,15.2,13.27
434,-70.951,42.306,0.09378,12.5,7.87,0.524,5.889,39,5.4509,5,311,15.2,15.71
408,-70.9645,42.292,0.62976,0,8.14,0.538,5.949,61.8,4.7075,4,307,21,8.26
364,-70.972,42.287,0.63796,0,8.14,0.538,6.096,84.5,4.4619,4,307,21,10.26
398,-70.9765,42.294,0.62739,0,8.14,0.538,5.834,56.5,4.4986,4,307,21,8.47
462,-70.987,42.2985,1.05393,0,8.14,0.538,5.935,29.3,4.4986,4,307,21,6.58
350,-70.978,42.285,0.7842,0,8.14,0.538,5.99,81.7,4.2579,4,307,21,14.67
404,-70.9925,42.2825,0.80271,0,8.14,0.538,5.456,36.6,3.7965,4,307,21,11.69
364,-70.988,42.2776,0.7258,0,8.14,0.538,5.727,69.5,3.7965,4,307,21,11.28
272,-70.9835,42.277,1.25179,0,8.14,0.538,5.57,98.1,3.7979,4,307,21,21.02
392,-70.982,42.281,0.85204,0,8.14,0.538,5.965,89.2,4.0123,4,307,21,13.83
304,-70.9775,42.279,1.23247,0,8.14,0.538,6.142,91.7,3.9769,4,307,21,18.72
290,-70.973,42.279,0.98843,0,8.14,0.538,5.813,100,4.0952,4,307,21,19.88
312,-70.9693,42.2816,0.75026,0,8.14,0.538,5.924,94.1,4.3996,4,307,21,16.3
278,-70.964,42.284,0.84054,0,8.14,0.538,5.599,85.7,4.4546,4,307,21,16.51
332,-70.9597,42.287,0.67191,0,8.14,0.538,5.813,90.3,4.682,4,307,21,14.81
296,-70.9597,42.2825,0.95577,0,8.14,0.538,6.047,88.8,4.4534,4,307,21,17.28
368,-70.957,42.28,0.77299,0,8.14,0.538,6.495,94.4,4.4547,4,307,21,12.8
420,-70.951,42.278,1.00245,0,8.14,0.538,6.674,87.3,4.239,4,307,21,11.98
254,-70.967,42.279,1.13081,0,8.14,0.538,5.713,94.1,4.233,4,307,21,22.6
