year,quarter,earnings
1960,1,0.71
1960,2,0.63
1960,3,0.85
1960,4,0.44
1961,1,0.61
1961,2,0.69
1961,3,0.92
1961,4,0.55
1962,1,0.72
1962,2,0.77
1962,3,0.92
1962,4,0.6
1963,1,0.83
1963,2,0.8
1963,3,1
1963,4,0.77
1964,1,0.92
1964,2,1
1964,3,1.24
1964,4,1
1965,1,1.16
1965,2,1.3
1965,3,1.45
1965,4,1.25
1966,1,1.26
1966,2,1.38
1966,3,1.86
1966,4,1.56
1967,1,1.53
1967,2,1.59
1967,3,1.83
1967,4,1.86
1968,1,1.53
1968,2,2.07
1968,3,2.34
1968,4,2.25
1969,1,2.16
1969,2,2.43
1969,3,2.7
1969,4,2.25
1970,1,2.79
1970,2,3.42
1970,3,3.69
1970,4,3.6
1971,1,3.6
1971,2,4.32
1971,3,4.32
1971,4,4.05
1972,1,4.86
1972,2,5.04
1972,3,5.04
1972,4,4.41
1973,1,5.58
1973,2,5.85
1973,3,6.57
1973,4,5.31
1974,1,6.03
1974,2,6.39
1974,3,6.93
1974,4,5.85
1975,1,6.93
1975,2,7.74
1975,3,7.83
1975,4,6.12
1976,1,7.74
1976,2,8.91
1976,3,8.28
1976,4,6.84
1977,1,9.54
1977,2,10.26
1977,3,9.54
1977,4,8.73
1978,1,11.88
1978,2,12.06
1978,3,12.15
1978,4,8.91
1979,1,14.04
1979,2,12.96
1979,3,14.85
1979,4,9.99
1980,1,16.2
1980,2,14.67
1980,3,16.02
1980,4,11.61
