"year","age","schooling","income","party","philosophy","legal","gender"
1975,38,12,"$6000 to 6999","Ind,near dem","Liberal",0,"Male"
1975,20,13,"$10000 - 14999","Not str democrat","Slghtly conservative",0,"Male"
1975,19,12,"$20000 - 24999","Strong democrat","Extremely liberal",1,"Male"
1975,28,18,"$20000 - 24999","Ind,near dem","Liberal",1,"Male"
1975,28,17,"$15000 - 19999","Not str republican","Moderate",0,"Male"
1975,35,10,"$15000 - 19999","Not str republican","Moderate",0,"Male"
1975,64,8,"$10000 - 14999","Strong democrat","Moderate",0,"Male"
1975,53,8,"$15000 - 19999","Not str democrat","Liberal",0,"Male"
1975,34,17,"$25000 or more","Not str democrat","Slightly liberal",1,"Male"
1975,34,16,"$15000 - 19999","Strong democrat","Extremely liberal",1,"Male"
1975,58,9,"$6000 to 6999","Strong democrat","Moderate",0,"Female"
1975,52,10,"$10000 - 14999","Strong democrat","Liberal",0,"Male"
1975,25,16,"$10000 - 14999","Ind,near dem","Liberal",1,"Male"
1975,41,19,"$25000 or more","Independent","Slghtly conservative",0,"Male"
1975,35,11,"$8000 to 9999","Strong republican","Liberal",1,"Male"
1975,63,14,"$10000 - 14999","Ind,near rep","Slghtly conservative",0,"Male"
1975,66,10,"$6000 to 6999","Independent","Conservative",0,"Male"
1975,32,12,"$10000 - 14999","Not str democrat","Slightly liberal",1,"Male"
1975,28,14,"$15000 - 19999","Independent","Conservative",1,"Male"
1975,42,12,"$10000 - 14999","Not str republican","Moderate",1,"Male"
1975,38,12,"$15000 - 19999","Independent","Moderate",0,"Male"
1975,33,12,"$8000 to 9999","Ind,near dem","Moderate",1,"Male"
1975,27,10,"$10000 - 14999","Independent","Moderate",0,"Male"
1975,26,17,"$10000 - 14999","Ind,near dem","Liberal",1,"Male"
1975,37,12,"$10000 - 14999","Strong republican","Moderate",0,"Male"
1975,57,14,"$25000 or more","Strong democrat","Liberal",1,"Male"
1975,27,18,"$15000 - 19999","Strong democrat","Extremely liberal",1,"Male"
1975,43,13,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1975,36,12,"$10000 - 14999","Other party","Slghtly conservative",1,"Male"
