"age","fare","survived"
29,211.3375,1
0.9167,151.55,1
2,151.55,0
30,151.55,0
25,151.55,0
48,26.55,1
63,77.9583,1
39,0,0
53,51.4792,1
71,49.5042,0
47,227.525,0
18,227.525,1
24,69.3,1
26,78.85,1
80,30,1
24,247.5208,0
50,247.5208,1
32,76.2917,1
36,75.2417,0
37,52.5542,1
47,52.5542,1
26,30,1
42,227.525,1
29,221.7792,1
25,26,0
25,91.0792,1
19,91.0792,1
35,135.6333,1
28,26.55,1
45,35.5,0
40,31,1
30,164.8667,1
58,26.55,1
42,26.55,0
45,262.375,1
22,55,1
41,30.5,0
48,50.4958,0
44,27.7208,1
59,51.4792,1
60,76.2917,1
41,134.5,1
45,26.55,0
42,26.2875,1
53,27.4458,1
36,512.3292,1
58,512.3292,1
33,5,0
28,47.1,0
17,47.1,0
11,120,1
14,120,1
36,120,1
36,120,1
49,26,0
36,78.85,0
76,78.85,1
46,61.175,0
47,61.175,1
27,53.1,1
33,53.1,1
36,262.375,1
30,86.5,1
45,29.7,1
27,136.7792,0
26,136.7792,1
22,151.55,1
47,25.5875,0
39,83.1583,1
37,83.1583,0
64,83.1583,1
55,25.7,1
70,71,0
36,71,1
64,26.55,1
39,71.2833,0
38,71.2833,1
51,26.55,1
27,30.5,1
33,151.55,1
31,52,0
27,52,1
31,57,1
17,57,1
53,81.8583,1
4,81.8583,1
54,81.8583,1
50,106.425,0
27,247.5208,1
48,106.425,1
48,39.6,1
49,56.9292,1
39,29.7,0
23,83.1583,1
38,227.525,1
54,78.2667,1
36,31.6792,0
36,26.3875,1
30,27.75,0
24,263,1
28,263,1
23,263,1
19,263,0
64,263,0
60,263,1
30,56.9292,1
50,133.65,1
43,27.7208,1
22,49.5,1
60,79.2,1
48,79.2,1
37,53.1,0
35,53.1,1
47,38.5,0
35,211.5,1
22,59.4,1
45,59.4,1
24,79.2,0
49,89.1042,1
71,34.6542,0
53,28.5,1
19,30,1
38,153.4625,0
58,153.4625,1
23,63.3583,1
45,63.3583,1
46,79.2,0
25,55.4417,1
25,55.4417,1
48,76.7292,1
49,76.7292,1
45,83.475,0
35,83.475,1
40,0,0
27,76.7292,1
24,83.1583,1
55,93.5,0
52,93.5,1
42,42.5,0
55,50,0
16,57.9792,1
44,57.9792,1
51,77.9583,1
42,52,0
35,52,1
35,26.55,1
38,90,1
35,90,1
38,80,1
50,28.7125,0
49,0,1
46,26,0
50,26,0
32.5,211.5,0
58,29.7,0
41,51.8625,0
42,52.5542,1
45,52.5542,1
39,211.3375,1
49,25.9292,1
30,106.425,1
35,512.3292,1
42,26.55,0
55,27.7208,1
16,39.4,1
51,39.4,1
29,30,0
21,77.9583,1
30,45.5,0
58,146.5208,1
15,211.3375,1
30,26,0
16,86.5,1
19,53.1,0
18,53.1,1
24,49.5042,1
46,75.2417,0
54,51.8625,0
36,26.2875,1
28,82.1708,0
65,26.55,0
44,90,0
33,90,1
37,90,1
30,57.75,1
55,30.5,0
47,42.4,0
37,29.7,0
31,113.275,1
23,113.275,1
58,113.275,0
19,26.2833,1
64,26,0
39,108.9,1
22,61.9792,1
65,61.9792,0
28.5,27.7208,0
45.5,28.5,0
23,93.5,0
29,66.6,0
22,66.6,1
18,108.9,0
17,108.9,1
30,93.5,1
52,30.5,1
47,52,0
56,83.1583,1
38,0,0
22,135.6333,0
43,211.3375,1
31,50.4958,0
45,26.55,1
33,27.7208,1
46,79.2,0
36,40.125,0
33,86.5,1
55,59.4,0
54,59.4,1
33,26.55,0
13,262.375,1
18,262.375,1
21,262.375,1
61,262.375,0
48,262.375,1
24,69.3,1
35,57.75,1
30,31,1
34,26.55,1
40,153.4625,1
35,26.2875,1
50,55.9,0
39,55.9,1
56,35.5,1
28,35.5,1
56,26.55,0
56,30.6958,0
24,60,0
18,60,1
24,82.2667,1
23,82.2667,1
6,134.5,1
45,134.5,1
40,134.5,1
57,146.5208,0
32,30.5,1
62,26.55,0
54,55.4417,1
43,55.4417,1
52,78.2667,1
62,80,1
67,221.7792,0
63,221.7792,0
61,32.3208,0
48,25.9292,1
18,79.65,1
52,79.65,0
39,79.65,1
48,52,1
49,110.8833,0
17,110.8833,1
39,110.8833,1
31,28.5375,1
40,27.7208,0
61,33.5,0
47,34.0208,0
35,512.3292,1
64,75.25,0
60,75.25,1
60,26.55,0
54,77.2875,0
21,77.2875,0
55,135.6333,1
31,164.8667,1
57,164.8667,0
45,164.8667,1
50,211.5,0
27,211.5,0
50,211.5,1
21,26.55,1
51,61.3792,0
21,61.3792,1
31,134.5,1
62,26.55,0
36,135.6333,1
30,24,0
28,24,1
30,13,0
18,11.5,0
25,10.5,0
34,26,0
36,26,1
57,13,0
18,11.5,0
23,10.5,0
36,13,1
28,10.5,0
51,12.525,0
32,26,1
19,26,1
28,26,0
1,39,1
4,39,1
12,39,1
36,39,1
34,13,1
19,13,1
23,13,0
26,13,0
42,13,0
27,13,0
24,13,1
15,39,1
60,39,0
40,39,1
20,26,1
25,26,0
36,13,1
25,13,0
42,13,0
42,13,1
0.8333,29,1
26,29,1
22,29,1
35,21,1
19,13,0
44,26,0
54,26,0
52,13.5,0
37,26,0
29,26,0
25,30,1
45,30,1
29,26,0
28,26,1
29,10.5,0
28,13,0
24,10.5,1
8,26.25,1
31,26.25,0
31,26.25,1
22,10.5,1
30,13,0
21,11.5,0
8,36.75,1
18,73.5,0
48,36.75,1
28,13,1
32,13,0
17,73.5,0
29,27.7208,0
24,27.7208,1
25,31.5,0
18,73.5,0
18,23,1
34,23,1
54,26,0
8,32.5,1
42,32.5,0
34,32.5,1
27,13.8583,1
30,13.8583,1
23,13,0
21,13,0
18,13,0
40,26,0
29,26,1
18,10.5,0
36,13,0
38,13,0
35,26,0
38,21,0
34,21,0
34,13,1
16,26,0
26,10.5,0
47,10.5,0
21,11.5,0
21,11.5,0
24,13.5,0
24,13,0
34,13,0
30,13,0
52,13,0
30,13,0
0.6667,14.5,1
24,14.5,1
44,13,0
6,33,1
28,33,0
62,10.5,1
30,10.5,0
7,26.25,1
43,26.25,0
45,26.25,1
24,65,1
24,65,1
49,65,0
48,65,1
55,16,1
24,73.5,0
32,73.5,0
21,73.5,0
18,13,0
20,23,1
23,11.5,0
36,13,0
54,23,1
50,13,0
44,26,0
29,26,1
21,73.5,0
42,13,1
63,26,0
60,26,0
33,12.275,0
17,10.5,1
42,27,0
24,27,1
47,15,0
24,31.5,0
22,31.5,0
32,10.5,0
23,13.7917,1
34,26,0
24,26,1
22,21,0
35,12.35,0
45,13.5,1
57,12.35,0
31,10.5,0
26,26,0
30,26,0
1,41.5792,1
3,41.5792,1
25,41.5792,0
22,41.5792,1
17,12,1
34,10.5,1
36,12.875,0
24,10.5,0
61,12.35,0
50,26,0
42,26,1
57,10.5,0
1,37.0042,1
31,37.0042,0
24,37.0042,1
30,13,0
40,16,0
32,13.5,0
30,13,0
46,26,0
13,19.5,1
41,19.5,1
19,10.5,1
39,13,0
48,13,0
70,10.5,0
27,13,0
54,14,0
39,26,0
16,10.5,0
62,9.6875,0
32.5,30.0708,0
14,30.0708,1
2,26,1
3,26,1
36.5,26,0
26,13,0
19,36.75,0
28,13.5,0
20,13.8625,1
29,10.5,1
39,13,0
22,10.5,1
23,10.5,0
29,13.8583,1
28,10.5,0
50,26,1
19,10.5,0
41,13,0
21,21,1
19,26,1
43,21,0
32,13,1
34,13,0
30,12.7375,1
27,15.0333,0
2,26,1
8,26,1
33,26,1
